"genre","publisher","developer","critic_score","release_date","total_sales","release_Month"
"Adventure","Activision","Activision",NA,2009-11-03,0.13,11
"Adventure","Ubisoft","Ubisoft Montreal",6.3,2006-12-07,0.13,12
"Adventure","GameMill Entertainment","WayForward",NA,2018-10-09,0.13,10
"Adventure","Atari","ImaginEngine",NA,2010-09-28,0.13,9
"Adventure","Crave Entertainment","Gameloft",NA,2011-12-09,0.13,12
"Adventure","The Adventure Company","TetraEdge Games",NA,2008-11-25,0.13,11
"Adventure","Sega","Sega",NA,2016-01-21,0.13,1
"Adventure","THQ","Tantalus Interactive",NA,2010-11-02,0.13,11
"Adventure","Bandai Namco Games","Bandai Namco Games",NA,2014-12-04,0.13,12
"Strategy","2K Games","FireFly Studios",NA,2009-10-27,0.13,10
"Strategy","Bandai Namco Games","Bandai Namco",NA,2018-03-29,0.13,3
"Strategy","Eidos Interactive","Toys for Bob",NA,1998-09-30,0.13,9
"Strategy","KOEI","Koei / Inis",NA,2002-04-04,0.13,4
"Action","D3 Publisher","High Voltage Software",NA,2011-11-15,0.13,11
"Strategy","SouthPeak Interactive","Venan Entertainment / Cashmere Productions",NA,2008-10-28,0.13,10
"Strategy","Konami","Konami",6,2006-11-14,0.13,11
"Strategy","KOEI","Koei/Inis",NA,1996-01-01,0.13,1
"Strategy","Atari","Atari",5.5,2003-03-25,0.13,3
"Action","Tecmo Koei","Tecmo Koei Games",NA,2014-03-25,0.13,3
"Action","Sony Computer Entertainment","SuperVillain Studios",7,2010-05-04,0.13,5
"Action","Ubisoft","Ubisoft Montreal",NA,2006-11-28,0.13,11
"Racing","VU Games","Radical Entertainment",NA,2005-10-20,0.13,10
"Racing","THQ","Pacific Coast Power & Light",NA,2001-12-06,0.13,12
"Racing","Electronic Arts","Midas Interactive Entertainment",3.9,1999-05-25,0.13,5
"Racing","KOEI","Koei Canada",NA,2007-09-11,0.13,9
"Racing","Microsoft Game Studios","Curly Monsters",NA,2002-09-16,0.13,9
"Racing","D3 Publisher","Monkey Bar Games",NA,2011-10-18,0.13,10
"Racing","Electronic Arts","EA Black Box",NA,2007-11-13,0.13,11
"Shooter","Buena Vista","Q Entertainment",NA,2006-11-07,0.13,11
"Shooter","Konami","Konami",NA,1995-09-29,0.13,9
"Shooter","LucasArts","Planet Moon Studios",NA,2003-12-02,0.13,12
"Shooter","D3 Publisher","Vicious Cycle",5.3,2009-02-26,0.13,2
"Shooter","Majesco","Shin'en GmbH",7.9,2003-05-29,0.13,5
"Shooter","2K Games","Gearbox Software",NA,2010-04-06,0.13,4
"Shooter","Zoo Games","Big Blue Bubble, Inc.",NA,2008-10-10,0.13,10
"Shooter","Activision","Activision",NA,2011-03-07,0.13,3
"Shooter","Sega","Treasure Co., Ltd.",NA,1993-09-09,0.13,9
"Shooter","Activision","Bungie",NA,2018-09-04,0.13,9
"Shooter","Activision","Treyarch",NA,2018-10-12,0.13,10
"Shooter","Konami","Konami",NA,1992-04-01,0.13,4
"Shooter","Namco","Rebellion Developments",5.2,2005-06-28,0.13,6
"Shooter","Ubisoft","Gearbox Software",4.6,2008-09-23,0.13,9
"Shooter","Nintendo","Treasure Co., Ltd.",NA,2000-11-21,0.13,11
"Shooter","Sega","Tantalus Interactive",7.5,1998-03-31,0.13,3
"Shooter","Bethesda Softworks","Rebellion Developments",2.5,2009-12-01,0.13,12
"Shooter","Electronic Arts","JV Games",7.2,2003-03-17,0.13,3
"Shooter","Tripwire Interactive","Tripwire Interactive",7.7,2011-09-13,0.13,9
"Shooter","Got Game Entertainment","Bohemia Interactive",NA,2009-07-07,0.13,7
"Shooter","THQ","Outrage Games",NA,2003-08-19,0.13,8
"Shooter","Gearbox Software","People Can Fly",NA,2017-04-07,0.13,4
"Shooter","Electronic Arts","IO Interactive",8.8,2003-10-01,0.13,10
"Shooter","Gamecock","Spark Unlimited",4,2008-10-31,0.13,10
"Shooter","Activision","Eurocom",4.2,2012-12-11,0.13,12
"Racing","Activision","Torus Games",NA,2006-11-21,0.13,11
"Racing","Codemasters","Codemasters",NA,2004-04-13,0.13,4
"Racing","Activision","Torus Games",NA,2008-10-28,0.13,10
"Racing","XS Games","Axis Entertainment",NA,2005-09-26,0.13,9
"Racing","Electronic Arts","Attention To Detail",NA,2002-11-20,0.13,11
"Racing","Acclaim Entertainment","Criterion Games",NA,2002-04-29,0.13,4
"Racing","Sega","TOSE Software",7.8,2000-08-29,0.13,8
"Simulation","Ubisoft","IR Gurus Interactive",NA,2005-09-28,0.13,9
"Racing","Activision","Torus Games",NA,2007-11-13,0.13,11
"Racing","Sega","Sonic Team",NA,2006-02-21,0.13,2
"Racing","Activision","Climax Group",NA,2002-11-11,0.13,11
"Racing","Bandai","Griptonite Games",6,2004-09-13,0.13,9
"Racing","Activision","Activision",NA,2011-11-15,0.13,11
"Racing","704Games","Monster Games",NA,2018-09-07,0.13,9
"Racing","Black Bean Games","Milestone S.r.l",NA,2011-05-11,0.13,5
"Racing","Namco Bandai Games","Milestone S.r.l.",NA,2016-07-26,0.13,7
"Racing","GameMill Entertainment","Bamtang",2,2018-10-23,0.13,10
"Racing","Disney Interactive Studios","Disney Interactive",NA,2011-11-08,0.13,11
"Racing","Gathering of Developers","Studio 33",NA,2004-04-01,0.13,4
"Racing","Bandai Namco Games","Slightly Mad Studios",NA,2015-05-12,0.13,5
"Racing","704Games","Monster Games",NA,2017-09-12,0.13,9
"Racing","Destineer","Torus Games",NA,2007-12-14,0.13,12
"Racing","Midway Games","Angel Studios",NA,2003-11-24,0.13,11
"Racing","Electronic Arts","Pocketeers",NA,2005-05-10,0.13,5
"Racing","Ubisoft","Left Field Productions",NA,2008-01-15,0.13,1
"Racing","Activision","Activision",NA,2011-11-15,0.13,11
"Racing","Disney Interactive Studios","Black Rock Studio",NA,2010-11-16,0.13,11
"Racing","THQ","SCS Software",NA,2011-01-06,0.13,1
"Racing","LEGO Media","Attention To Detail",NA,2001-09-27,0.13,9
"Simulation","Aksys Games","Aksys Games",7,2018-08-24,0.13,8
"Simulation","Ubisoft","Sunflower Studios",8,2008-03-04,0.13,3
"Simulation","Namco Bandai Games","Bandai Namco Games",NA,2014-05-15,0.13,5
"Simulation","Majesco","Super X Studios",NA,2008-04-22,0.13,4
"Simulation","Focus Home Interactive","Giants Software",NA,2017-11-07,0.13,11
"Simulation","Capcom","Capcom",NA,2008-11-11,0.13,11
"Simulation","Natsume","TOSE",NA,2006-09-12,0.13,9
"Simulation","Tomy Corporation","Tomy",NA,2010-02-23,0.13,2
"Simulation","Virgin Interactive","Black Ops Entertainment",NA,1996-09-30,0.13,9
"Simulation","SouthPeak Interactive","Nobilis",NA,2009-11-03,0.13,11
"Simulation","Capcom","From Software",NA,2012-06-19,0.13,6
"Simulation","Take-Two Interactive","Syscom Entertainment",NA,2001-07-17,0.13,7
"Simulation","Electronic Arts","EA Salt Lake",NA,2009-03-03,0.13,3
"Shooter","Activision","Cauldron Ltd.",NA,2008-11-04,0.13,11
"Shooter","Midway Games","Nfusion",NA,2007-06-25,0.13,6
"Shooter","Activision","Activision",NA,2009-11-03,0.13,11
"Action","Activision","Vicarious Visions",6.3,2008-11-04,0.13,11
"Action","Namco Bandai Games","Bandai Namco Games",2.8,2018-06-22,0.13,6
"Shooter","LucasArts","Pandemic Studios",NA,2003-04-22,0.13,4
"Shooter","Konami","Rebellion Developments",NA,2012-01-31,0.13,1
"Action","Kemco","Bits Studios",NA,2003-10-28,0.13,10
"Action","Activision","Magic Pockets",NA,2010-03-23,0.13,3
"Action","Ubisoft","Ubisoft Casablanca",NA,2005-11-21,0.13,11
"Action","Ubisoft","Light Weight",NA,2003-10-09,0.13,10
"Action","Paramount Digital Entertainment","Behaviour Studios",NA,2011-03-01,0.13,3
"Action","THQ","Sandblast Games",4.1,2008-12-02,0.13,12
"Action","Namco Bandai Games","Bandai Namco Games",NA,2015-08-20,0.13,8
"Fighting","Sega","Sega",NA,1997-09-30,0.13,9
"Fighting","Capcom","Capcom / Dimps Corporation",9.1,2009-07-07,0.13,7
"Fighting","Namco","Namco",NA,2003-08-27,0.13,8
"Fighting","Acclaim Entertainment","Acclaim Studios Salt Lake City",NA,2002-05-27,0.13,5
"Fighting","Acclaim Entertainment","Acclaim Studios Salt Lake City",NA,2002-12-05,0.13,12
"Fighting","Activision","EXAKT Entertainment",7,2002-10-15,0.13,10
"Fighting","BAM! Entertainment","Spike",8,2001-06-10,0.13,6
"Platform","Ubisoft","Ubisoft Montreal",7.4,2006-09-19,0.13,9
"Strategy","Level 5","Level 5",NA,2013-10-31,0.13,10
"Action","Idea Factory International","Compile Heart",NA,2016-05-10,0.13,5
"Action","Insomniac Games","Insomniac Games",NA,2016-07-12,0.13,7
"Action","Activision","7 Studios",NA,2009-05-26,0.13,5
"Action","Atari","Circus Freak",NA,2002-11-19,0.13,11
"Action","Namco Bandai Games","Bandai Namco Games",NA,2012-02-23,0.13,2
"Action","Unknown","Virtual Air Guitar Company",NA,2011-11-15,0.13,11
"Strategy","Slitherine Software","Slitherine Software",NA,2011-05-09,0.13,5
"Strategy","Aksys Games","Compile Heart",6.2,2011-06-14,0.13,6
"Action","Rockstar Games","Rockstar North",NA,2008-10-20,0.13,10
"Action","Warner Bros. Interactive Entertainment","Red Barrels",NA,2017-04-25,0.13,4
"Shooter","3DO","3DO",NA,2001-03-25,0.13,3
"Action","Konami","Konami",NA,2005-08-30,0.13,8
"Action","Namco Bandai","Bandai Namco Games",NA,2010-06-17,0.13,6
"Action","KOEI","Omega Force",4.3,2008-09-23,0.13,9
"Action","Midway Games","Candle Light Studios",NA,1998-10-31,0.13,10
"Action","Ubisoft","Unknown",NA,2008-02-12,0.13,2
"Action","Eidos Interactive","Crystal Dynamics",8.3,2006-04-11,0.13,4
"Action","Aksys Games","Acquire",NA,2010-09-14,0.13,9
"Action","Little Orbit","Vicious Cycle",NA,2015-10-20,0.13,10
"Action","Ubisoft","Ubisoft",4.3,2009-11-10,0.13,11
"Strategy","Sega","Camelot Software Planning",NA,1998-05-31,0.13,5
"Action","Xseed Games","Acquire",NA,2014-08-12,0.13,8
"Action","Microsoft","Jaleco Entertainment",NA,2002-01-21,0.13,1
"Action","Eidos Interactive","IO Interactive",8.3,2003-06-19,0.13,6
"Action","Capcom","Capcom",NA,2011-11-10,0.13,11
"Action","Sega","The Creative Assembly",7,2005-10-25,0.13,10
"Action","Majesco","GlyphX Games",NA,2005-05-31,0.13,5
"Action","Sega","From Software",NA,2003-08-27,0.13,8
"Action","Warner Bros. Interactive","Griptonite Games",NA,2011-06-07,0.13,6
"Action","Atari","Paradigm Entertainment",NA,2003-12-02,0.13,12
"Action","Idea Factory International","Compile Heart",NA,2015-05-19,0.13,5
"Strategy","KOEI","Koei",NA,2010-03-04,0.13,3
"Strategy","Sony Computer Entertainment","Marionette",NA,1995-12-01,0.13,12
"Strategy","Electronic Arts","Amaze Entertainment",6.9,2005-11-08,0.13,11
"Action","THQ","Locomotive Games",5.3,2008-02-25,0.13,2
"Action","Sony Interactive Entertainment","Supermassive Games Ltd.",NA,2018-01-23,0.13,1
"Platform","Activision","Amaze Entertainment",NA,2006-10-24,0.13,10
"Platform","Konami","Konami",NA,2002-12-06,0.13,12
"Platform","Capcom","Atomic Planet Entertainment",NA,2005-03-15,0.13,3
"Platform","Konami","KCEK",NA,1999-11-30,0.13,11
"Platform","Capcom","Capcom",NA,1993-01-01,0.13,1
"Platform","Eidos Interactive","Crystal Dynamics",NA,2003-11-18,0.13,11
"Platform","Activision","Torus Games",NA,2006-11-14,0.13,11
"Platform","Outright Games","Outright Games",NA,2018-10-23,0.13,10
"Platform","Sony Computer Entertainment","SCE Japan Studio",7.8,2006-01-17,0.13,1
"Platform","Buena Vista","Climax Group",NA,2006-09-08,0.13,9
"Platform","Electronic Arts","Krome Studios",NA,2004-10-12,0.13,10
"Platform","Konami","Konami Computer Entertainment Tokyo",7.2,2001-10-08,0.13,10
"Platform","Ubisoft","DC Studios",NA,2003-03-12,0.13,3
"Platform","THQ","Avalanche Software",NA,2004-10-11,0.13,10
"Platform","Ubisoft","Phoenix Games Studio",NA,2005-02-08,0.13,2
"Fighting","Aksys Games","Arc System Works",7.5,2011-05-31,0.13,5
"Action","Namco Bandai Games","Omega Force",NA,2013-12-19,0.13,12
"Action","KOEI","Omega Force",6.4,2006-03-28,0.13,3
"Action","Sega","WayForward Technologies",6.4,2011-05-03,0.13,5
"Action","Banpresto","Eighting",NA,2006-09-14,0.13,9
"Action","Activision","Mucky Foot Productions",NA,2002-09-02,0.13,9
"Action","Tecmo Koei","Omega Force",NA,2015-09-29,0.13,9
"Action","Xseed Games","Grasshopper Manufacture",NA,2013-08-27,0.13,8
"Action","D3 Publisher","Tamsoft Corporation",NA,2009-02-10,0.13,2
"Action","Ubisoft","Ubisoft Montreal",NA,2010-03-09,0.13,3
"Puzzle","GameMill","Frozen Codebase",NA,2009-09-08,0.13,9
"Puzzle","Nintendo","Nintendo EAD",6.1,2004-10-25,0.13,10
"Puzzle","Zoo Digital Publishing","Slam Games",NA,2008-09-23,0.13,9
"Platform","Activision","WayForward Technologies",NA,2014-10-28,0.13,10
"Platform","Ubisoft","Phoenix Games Studio",NA,2005-02-08,0.13,2
"Platform","Buena Vista","Artificial Mind and Movement",NA,2005-11-09,0.13,11
"Fighting","Sony Computer Entertainment","Sony Computer Entertainment",NA,2012-03-13,0.13,3
"Fighting","Bandai","Ganbarion",NA,2005-09-07,0.13,9
"Fighting","Majesco","Panic Button LLC",NA,2011-10-11,0.13,10
"Fighting","505 Games","Kung Fu Factory",5,2011-09-20,0.13,9
"Party","Activision","Behaviour Interactive",NA,2012-11-18,0.13,11
"Puzzle","DreamCatcher Interactive","DreamCatcher Interactive",NA,2009-12-22,0.13,12
"Puzzle","Konami","Hudson Soft",NA,2007-03-20,0.13,3
"Puzzle","Game Factory","Shin'en",NA,2008-10-28,0.13,10
"Puzzle","Sega","Sonic Team",NA,2011-12-15,0.13,12
"Puzzle","Scholastic Inc.","Big Blue Bubble Inc.",NA,2010-06-18,0.13,6
"Puzzle","Namco Bandai Games","Namco Bandai Games",NA,2014-11-27,0.13,11
"Platform","Infogrames","Blitz Games",6.6,2002-11-06,0.13,11
"Platform","Electronic Arts","The Neverhood, Inc.",NA,1998-01-31,0.13,1
"Party","Warner Bros. Interactive Entertainment","Phosphor Studios",NA,2012-11-18,0.13,11
"Platform","3DO","3DO",6.7,2001-09-10,0.13,9
"Platform","Sega","PagodaWest Games",NA,2017-08-15,0.13,8
"Puzzle","Zoo Digital Publishing","Infinite Interactive",NA,2009-05-04,0.13,5
"Puzzle","Natsume","Platinum Egg",NA,2007-11-06,0.13,11
"Puzzle","Square Enix","Lancarse",NA,2009-07-28,0.13,7
"Puzzle","Mumbo Jumbo","Hot Lava Games",NA,2007-09-17,0.13,9
"Puzzle","Destination Software, Inc","Rebellion Developments",NA,2001-09-28,0.13,9
"Action","Xseed Games","Acquire",NA,2014-11-25,0.13,11
"Action","Warner Bros. Interactive","Griptonite Games",6,2011-06-07,0.13,6
"Action","Konami","Konami",NA,2004-10-19,0.13,10
"Puzzle","Unknown","Intelligent Systems",NA,NA,0.13,NA
"Fighting","Activision","Now Production",NA,2012-11-18,0.13,11
"Fighting","Warner Bros. Interactive Entertainment","NetherRealm Studios",NA,2013-11-12,0.13,11
"Fighting","THQ","Natsume",NA,2004-10-12,0.13,10
"Fighting","Konami","Yuke's Future Media Creators",6.5,2006-03-28,0.13,3
"Fighting","Atlus","Arc System Works",NA,2012-08-07,0.13,8
"Sports","Atari","Atari",NA,1982-01-01,0.13,1
"Sports","Mastiff","eV Interactive",NA,2009-10-20,0.13,10
"Sports","Midway Games","Midway",NA,2006-03-29,0.13,3
"Sports","Maximum Games","HB Studios",NA,2017-06-27,0.13,6
"Sports","EA Sports","EA Tiburon",NA,2015-09-29,0.13,9
"Sports","KOEI","Koei/Inis",NA,2001-12-22,0.13,12
"Sports","Acclaim Entertainment","Acclaim Entertainment",NA,1999-10-31,0.13,10
"Sports","Konami","PawaPuro Production",NA,2010-11-25,0.13,11
"Sports","2K Sports","PawaPuro Production",NA,2008-07-29,0.13,7
"Sports","Infogrames","Humongous Entertainment",NA,2003-03-31,0.13,3
"Sports","Acclaim Entertainment","Acclaim Entertainment",NA,2003-02-23,0.13,2
"Sports","Codemasters","Sting",NA,1999-11-30,0.13,11
"Sports","Konami Digital Entertainment","PES Productions",NA,2015-09-15,0.13,9
"Sports","Activision","Activision",NA,2006-09-19,0.13,9
"Sports","EA Sports","EA Canada",7.7,2006-04-24,0.13,4
"Sports","Namco Bandai Games","Namco Bandai Games",NA,2017-04-20,0.13,4
"Sports","Konami","Konami",NA,1997-12-31,0.13,12
"Sports","Ubisoft","Ubisoft",NA,2011-03-18,0.13,3
"Sports","Namco","Namco",NA,2004-06-08,0.13,6
"Sports","2K Sports","Kush Games",NA,2007-09-10,0.13,9
"Sports","Konami Digital Entertainment","Konami Digital Entertainment",NA,2016-04-28,0.13,4
"Sports","2K Sports","Blue Castle Games",NA,2009-07-07,0.13,7
"Sports","Sega","Sega",NA,2010-05-27,0.13,5
"Sports","Konami","Konami",NA,2002-04-25,0.13,4
"Sports","Gremlin Interactive Ltd","Gremlin Interactive",NA,1998-01-01,0.13,1
"Sports","2K Sports","2K Sports",8.2,2006-11-13,0.13,11
"Misc","Ubisoft","Ubisoft",NA,2010-10-22,0.13,10
"Misc","Ubisoft","Ludia Inc.",NA,2010-10-26,0.13,10
"Misc","UFO Interactive","Starfish",NA,2010-09-28,0.13,9
"Misc","Ubisoft","Ubisoft",NA,2015-10-20,0.13,10
"Sports","Sega","Sports Interactive",NA,2011-10-28,0.13,10
"Sports","Infogrames","Incredible Technologies",NA,2000-09-20,0.12,9
"Misc","Konami","Blitz Games",NA,2008-11-18,0.12,11
"Misc","Warner Bros. Interactive","FarSight Studios",NA,2010-06-08,0.12,6
"Misc","Mastiff","Mastiff",NA,2017-12-12,0.12,12
"Misc","Sony Computer Entertainment","SCEE London Studio",NA,2009-11-17,0.12,11
"Sports","EA Sports","Exient Entertainment",NA,2005-08-08,0.12,8
"Sports","Sega","Sports Interactive",5.8,2014-04-11,0.12,4
"Misc","Graffiti","Graffiti Entertainment",NA,2010-05-04,0.12,5
"Misc","Disney Interactive Studios","Zoe Mode",NA,2010-09-28,0.12,9
"Misc","Namco Bandai Games","Namco Bandai Games",NA,2014-11-20,0.12,11
"Misc","Namco Bandai Games","Unknown",NA,2012-01-12,0.12,1
"Misc","Ubisoft","Ubisoft Quebec",NA,2012-12-04,0.12,12
"Misc","Namco Bandai","Bandai Namco Games",NA,2007-06-07,0.12,6
"Misc","Tecmo Koei","Unknown",NA,2014-03-25,0.12,3
"Misc","Atari","Sensory Sweep",NA,2005-12-13,0.12,12
"Misc","Nintendo","Koei Tecmo Games",NA,2015-10-22,0.12,10
"Misc","MTV Games","Harmonix Music Systems",NA,2008-11-17,0.12,11
"Misc","Sega","Sega-AM2",NA,1995-11-17,0.12,11
"Misc","THQ","Smackdown Productions",7,2011-02-15,0.12,2
"Action","THQ","Blue Tongue",NA,2006-08-01,0.12,8
"Action","Takara Tomy","Takara Tomy",NA,2008-04-24,0.12,4
"Misc","Sierra Entertainment","Vicarious Visions",NA,2005-10-19,0.12,10
"Adventure","Square Enix","DONTNOD Entertainment",NA,2016-01-19,0.12,1
"Role-Playing","Namco Bandai Games","Banpresto",NA,2012-03-15,0.12,3
"Role-Playing","Namco Bandai Games","Namco Bandai Games",NA,2015-07-28,0.12,7
"Role-Playing","Capcom","Capcom",7.2,2004-09-21,0.12,9
"Role-Playing","Atlus","Vanillaware",NA,2018-04-24,0.12,4
"Role-Playing","Xseed Games","Media.Vision",NA,2007-08-28,0.12,8
"Role-Playing","Activision","Tamsoft",NA,1999-01-31,0.12,1
"Role-Playing","NIS America","Nippon Ichi Software",7.9,2005-07-26,0.12,7
"Adventure","Agetec","From Software",6.3,1999-07-31,0.12,7
"Adventure","Ubisoft","Ubisoft",NA,2011-11-01,0.12,11
"Adventure","Psygnosis","FDI",NA,1998-10-28,0.12,10
"Adventure","THQ","THQ Australia Studios Pty Ltd.",NA,2010-11-02,0.12,11
"Adventure","VU Games","Black Ops Entertainment",NA,2004-03-16,0.12,3
"Adventure","2K Games","High Voltage Software",NA,2005-11-02,0.12,11
"Adventure","Telltale Games","Telltale Games",NA,2017-11-14,0.12,11
"Adventure","Codemasters","4J Studios",NA,2008-06-24,0.12,6
"Racing","EA Sports","Visual Sciences Ltd.",NA,2002-06-17,0.12,6
"Racing","EA Sports","EA Tiburon",NA,2004-09-04,0.12,9
"Racing","Midway Games","Inland Productions",NA,2001-11-15,0.12,11
"Music","Activision","Zoe Mode",NA,2014-10-21,0.12,10
"Music","Broccoli","Nippon Ichi Software",NA,2013-03-07,0.12,3
"Adventure","THQ","Eurocom Entertainment Software",NA,2003-11-10,0.12,11
"Adventure","TDK Mediactive","Digital Illusions",6.3,2002-06-10,0.12,6
"Adventure","Ignition Entertainment","Hydravision Entertainment",NA,2008-03-25,0.12,3
"Role-Playing","Nintendo","Mistwalker Corporation / Racjin",NA,2007-10-04,0.12,10
"Role-Playing","Atlus","Aqua Plus",NA,2015-08-18,0.12,8
"Role-Playing","Level 5","Level 5",NA,2020-02-14,0.12,2
"Role-Playing","Ubisoft","Taito Corporation",NA,2006-04-25,0.12,4
"Role-Playing","Sega","Sonic Team",6.6,2006-10-25,0.12,10
"Role-Playing","Aksys Games","Acquire",NA,2014-05-27,0.12,5
"Racing","D3 Publisher","Monkey Bar Games",NA,2011-10-18,0.12,10
"Racing","Activision","Activision",NA,2010-10-26,0.12,10
"Action","505 Games","Behaviour Interactive Inc.",NA,2017-06-20,0.12,6
"Action","THQ Nordic","Gunfire Games",NA,2018-11-27,0.12,11
"Action","505 Games","Re-Logic",NA,2015-12-10,0.12,12
"Action","Activision","GenePool",6,2003-04-14,0.12,4
"Action","Atari","Santa Cruz Games",NA,2007-11-20,0.12,11
"Action","Namco Bandai","ArtDink",NA,2011-02-03,0.12,2
"Fighting","Victory Lap Games","Kronos Digital Entertainment",NA,1996-03-01,0.12,3
"Fighting","Human Entertainment","Human Entertainment",NA,1996-12-27,0.12,12
"Action","Ubisoft","From Software",7.5,2009-03-24,0.12,3
"Action","Majesco","n-Space",4,2011-12-01,0.12,12
"Action","Konami","Konami",7.2,2005-11-01,0.12,11
"Action","Namco","Monkey Bar Games",NA,2006-02-01,0.12,2
"Action","Focus Home Interactive","DECK13 Interactive",NA,2017-05-16,0.12,5
"Action","Electronic Arts","The Sims Studio",NA,2010-09-28,0.12,9
"Action","Ubisoft","Climax Studios",NA,2016-04-05,0.12,4
"Action","Electronic Arts","Unknown",5,2006-11-14,0.12,11
"Puzzle","Crave Entertainment","Crave Entertainment",NA,2009-02-17,0.12,2
"Puzzle","PopCap Games","Q Entertainment",NA,2009-02-27,0.12,2
"Platform","Ubisoft","Ubisoft",NA,2002-11-01,0.12,11
"Platform","Xseed Games","WayForward Technologies",NA,2018-05-08,0.12,5
"Puzzle","D3 Publisher","Infinite Interactive",NA,2010-06-22,0.12,6
"Puzzle","Eidos Interactive","Game Lab / Play First",5.9,2007-05-22,0.12,5
"Puzzle","Sega","Sega",NA,1997-03-28,0.12,3
"Action","Little Orbit","Vicious Cycle",NA,2015-10-20,0.12,10
"Platform","Sony Computer Entertainment","SCEI",NA,2016-12-30,0.12,12
"Platform","Rockstar Games","VIS Entertainment",NA,1999-10-31,0.12,10
"Platform","Ubisoft","Sucker Punch",8.3,1999-11-17,0.12,11
"Platform","Sega","Sonic Team",NA,1997-07-31,0.12,7
"Platform","THQ","3d6 Games",6,2001-09-19,0.12,9
"Platform","Codemasters","System 3 Software",NA,2007-11-15,0.12,11
"Puzzle","D3 Publisher","Warashi",NA,2006-06-20,0.12,6
"Puzzle","Nintendo","SFB Games",8.2,2017-03-03,0.12,3
"Action","THQ","THQ",NA,2011-10-25,0.12,10
"Action","VU Games","Eurocom Entertainment Software",NA,2003-08-27,0.12,8
"Action","Activision","Radical Entertainment",NA,2012-04-24,0.12,4
"Action","Tecmo Koei","Omega Force",NA,2015-09-29,0.12,9
"Action","Bandai Namco Games","Bandai Namco Games",NA,2012-06-07,0.12,6
"Action","D3 Publisher","Tamsoft Corporation",NA,2009-02-10,0.12,2
"Strategy","Sony Computer Entertainment","Q-Games",8.7,2010-04-27,0.12,4
"Shooter","Bandai Namco Games","From Software",NA,2013-09-24,0.12,9
"Action","Namco Bandai","Bandai Namco Games",NA,2009-12-03,0.12,12
"Action","Acclaim Entertainment","Acclaim Entertainment",NA,2003-11-05,0.12,11
"Action","Telltale Games","The Fun Pimps",NA,2016-06-28,0.12,6
"Action","Ubisoft","Pipeworks Software, Inc.",NA,2007-04-03,0.12,4
"Action","Warner Bros. Interactive","Tantalus Interactive",NA,2010-09-14,0.12,9
"Action","Tecmo Koei","Omega Force",NA,2016-03-15,0.12,3
"Action","Electronic Arts","Sanzaru Games",NA,2008-03-04,0.12,3
"Action","Sega","Wow Entertainment",NA,2004-02-10,0.12,2
"Fighting","Angel Studios","Angel Studios",NA,1994-12-16,0.12,12
"Fighting","Spike Chunsoft","Spike Chunsoft",NA,2018-08-28,0.12,8
"Fighting","Namco Bandai","Eighting",NA,2010-12-02,0.12,12
"Fighting","Acclaim Entertainment","Acclaim Studios Austin",NA,2004-06-22,0.12,6
"Fighting","THQ","Amaze Entertainment",NA,2007-11-13,0.12,11
"Education","Global Star Software","Monkey Bar Games",NA,2005-10-13,0.12,10
"Action","THQ","THQ",NA,2011-11-08,0.12,11
"Action","Namco Bandai","Namco Bandai Games",NA,2011-06-23,0.12,6
"Fighting","Bandai","Eighting",NA,2011-12-01,0.12,12
"Fighting","Human Entertainment","Human Club",NA,1999-04-08,0.12,4
"Fighting","Sammy Corporation","Arc System Works",NA,2001-09-30,0.12,9
"Fighting","Atari","Pipeworks Software, Inc.",NA,2003-04-16,0.12,4
"Fighting","Namco Bandai","Namco Bandai Games",NA,2011-12-22,0.12,12
"Fighting","Namco Bandai Games","ArtDink",NA,2014-01-28,0.12,1
"Fighting","Aksys Games","Arc System Works",NA,2012-02-14,0.12,2
"Fighting","Eidos Interactive","Paradox Development",NA,2004-11-16,0.12,11
"Platform","Warner Bros. Interactive","Amaze Entertainment",NA,2009-10-13,0.12,10
"Fighting","Sega","Nextech",NA,1995-01-01,0.12,1
"Fighting","Acclaim Entertainment","Acclaim Studios Salt Lake City",NA,2002-11-26,0.12,11
"Fighting","Spike","Spike",NA,2002-12-19,0.12,12
"Fighting","Namco Bandai Games","Spike Chunsoft",NA,2016-05-31,0.12,5
"Fighting","Namco Bandai Games","Namco Bandai Games",NA,2014-11-13,0.12,11
"Fighting","Capcom","Capcom",NA,2001-09-13,0.12,9
"Fighting","SNK","SNK Corporation",NA,1994-10-01,0.12,10
"Platform","Hudson Soft","Hudson Soft",6.7,2011-01-04,0.12,1
"Platform","Acclaim Entertainment","RFX Interactive",NA,2002-08-26,0.12,8
"Platform","Midway Games","Artificial Mind and Movement",NA,2006-07-24,0.12,7
"Platform","Activision","XPEC Entertainment Inc.",NA,2010-05-18,0.12,5
"Platform","Infogrames","Infogrames",NA,2001-09-27,0.12,9
"Platform","2K Play","High Voltage Software",NA,2008-02-11,0.12,2
"Platform","Eidos Interactive","Crystal Dynamics",6.7,1998-12-31,0.12,12
"Platform","Majesco","Double Fine Productions",8.8,2005-04-19,0.12,4
"Strategy","Namco Bandai","Monolith Soft",NA,2010-05-27,0.12,5
"Fighting","Aksys Games","Arc System Works",NA,2016-11-01,0.12,11
"Fighting","JVC","Victor Interactive Software",NA,1995-01-01,0.12,1
"Fighting","Namco Bandai Games","CyberConnect2",NA,2017-02-03,0.12,2
